case,grader,radius_um,cc_id,area_px,area_mm2
abe 20250409,g1,20,373,6,0.00026666667
abe 20250409,g1,20,387,1,4.4444444e-05
abe 20250409,g1,20,395,4,0.00017777778
abe 20250409,g1,20,397,2,8.8888889e-05
abe 20250409,g1,20,400,4,0.00017777778
abe 20250409,g1,20,401,7,0.00031111111
abe 20250409,g1,20,408,2,8.8888889e-05
abe 20250409,g1,20,417,5,0.00022222222
abe 20250409,g1,20,428,4,0.00017777778
abe 20250409,g1,20,431,6,0.00026666667
abe 20250409,g1,20,434,2,8.8888889e-05
abe 20250409,g1,20,438,2,8.8888889e-05
abe 20250409,g1,20,441,1,4.4444444e-05
abe 20250409,g1,20,445,5,0.00022222222
abe 20250409,g1,20,466,8,0.00035555556
abe 20250409,g1,20,471,3,0.00013333333
abe 20250409,g1,20,474,2,8.8888889e-05
abe 20250409,g1,20,491,2,8.8888889e-05
abe 20250409,g1,20,500,2,8.8888889e-05
abe 20250409,g1,20,503,1,4.4444444e-05
abe 20250409,g1,20,506,4,0.00017777778
abe 20250409,g1,20,508,10,0.00044444444
abe 20250409,g1,20,511,3,0.00013333333
abe 20250409,g2,20,1,15,0.00066666667
abe 20250409,g2,20,2,8,0.00035555556
abe 20250409,g2,20,7,13,0.00057777778
abe 20250409,g2,20,14,6,0.00026666667
abe 20250409,g2,20,15,10,0.00044444444
abe 20250409,g2,20,16,7,0.00031111111
abe 20250409,g2,20,22,7,0.00031111111
abe 20250409,g2,20,24,3,0.00013333333
abe 20250409,g2,20,25,40,0.0017777778
abe 20250409,g2,20,26,22,0.00097777778
abe 20250409,g2,20,28,4,0.00017777778
abe 20250409,g2,20,29,6,0.00026666667
abe 20250409,g2,20,30,17,0.00075555556
abe 20250409,g2,20,32,10,0.00044444444
abe 20250409,g2,20,34,9,0.0004
abe 20250409,g2,20,36,3,0.00013333333
abe 20250409,g2,20,41,9,0.0004
abe 20250409,g2,20,42,10,0.00044444444
abe 20250409,g2,20,43,7,0.00031111111
abe 20250409,g2,20,44,9,0.0004
abe 20250409,g2,20,51,12,0.00053333333
abe 20250409,g2,20,53,12,0.00053333333
abe 20250409,g2,20,59,33,0.0014666667
abe 20250409,g2,20,63,2,8.8888889e-05
abe 20250409,g2,20,64,11,0.00048888889
abe 20250409,g2,20,80,10,0.00044444444
abe 20250409,g2,20,81,4,0.00017777778
abe 20250409,g2,20,82,6,0.00026666667
abe 20250409,g2,20,83,6,0.00026666667
abe 20250409,g2,20,86,11,0.00048888889
abe 20250409,g2,20,91,2,8.8888889e-05
abe 20250409,g2,20,93,14,0.00062222222
abe 20250409,g2,20,100,11,0.00048888889
abe 20250409,g2,20,103,45,0.002
abe 20250409,g2,20,112,5,0.00022222222
abe 20250409,g2,20,123,1,4.4444444e-05
abe 20250409,g2,20,126,13,0.00057777778
abe 20250409,g2,20,134,12,0.00053333333
abe 20250409,g2,20,137,15,0.00066666667
abe 20250409,g2,20,139,7,0.00031111111
abe 20250409,g2,20,141,11,0.00048888889
abe 20250409,g2,20,149,9,0.0004
abe 20250409,g2,20,151,4,0.00017777778
abe 20250409,g2,20,155,11,0.00048888889
abe 20250409,g2,20,156,6,0.00026666667
abe 20250409,g2,20,166,1,4.4444444e-05
abe 20250409,g2,20,180,3,0.00013333333
abe 20250409,g2,20,184,6,0.00026666667
abe 20250409,g2,20,187,17,0.00075555556
abe 20250409,g2,20,208,21,0.00093333333
abe 20250409,g2,20,223,9,0.0004
abe 20250409,g2,20,249,16,0.00071111111
abe 20250409,g2,20,250,5,0.00022222222
abe 20250409,g2,20,252,4,0.00017777778
abe 20250409,g2,20,258,2,8.8888889e-05
abe 20250409,g2,20,259,12,0.00053333333
abe 20250409,g2,20,269,14,0.00062222222
abe 20250409,g2,20,271,26,0.0011555556
abe 20250409,g2,20,277,8,0.00035555556
abe 20250409,g2,20,282,9,0.0004
abe 20250409,g2,20,283,41,0.0018222222
abe 20250409,g2,20,285,31,0.0013777778
abe 20250409,g2,20,289,8,0.00035555556
abe 20250409,g2,20,293,3,0.00013333333
abe 20250409,g2,20,294,1,4.4444444e-05
abe 20250409,g2,20,298,1,4.4444444e-05
abe 20250409,g2,20,299,1,4.4444444e-05
abe 20250409,g1,30,1,25,0.0011111111
abe 20250409,g1,30,2,36,0.0016
abe 20250409,g1,30,3,26,0.0011555556
abe 20250409,g1,30,8,19,0.00084444444
abe 20250409,g1,30,12,1,4.4444444e-05
abe 20250409,g1,30,13,1,4.4444444e-05
abe 20250409,g1,30,16,2,8.8888889e-05
abe 20250409,g1,30,18,6,0.00026666667
abe 20250409,g1,30,23,34,0.0015111111
abe 20250409,g1,30,26,1,4.4444444e-05
abe 20250409,g1,30,27,2,8.8888889e-05
abe 20250409,g1,30,33,24,0.0010666667
abe 20250409,g1,30,34,2,8.8888889e-05
abe 20250409,g1,30,38,16,0.00071111111
abe 20250409,g1,30,39,30,0.0013333333
abe 20250409,g1,30,40,5,0.00022222222
abe 20250409,g1,30,43,33,0.0014666667
abe 20250409,g1,30,48,7,0.00031111111
abe 20250409,g1,30,49,8,0.00035555556
abe 20250409,g1,30,50,3,0.00013333333
abe 20250409,g1,30,54,5,0.00022222222
abe 20250409,g1,30,57,3,0.00013333333
abe 20250409,g1,30,58,5,0.00022222222
abe 20250409,g1,30,59,1,4.4444444e-05
abe 20250409,g1,30,62,14,0.00062222222
abe 20250409,g1,30,65,9,0.0004
abe 20250409,g1,30,66,3,0.00013333333
abe 20250409,g1,30,67,7,0.00031111111
abe 20250409,g1,30,68,7,0.00031111111
abe 20250409,g1,30,72,2,8.8888889e-05
abe 20250409,g1,30,77,17,0.00075555556
abe 20250409,g1,30,78,16,0.00071111111
abe 20250409,g1,30,81,8,0.00035555556
abe 20250409,g1,30,83,10,0.00044444444
abe 20250409,g1,30,84,20,0.00088888889
abe 20250409,g1,30,89,3,0.00013333333
abe 20250409,g1,30,94,1,4.4444444e-05
abe 20250409,g1,30,97,5,0.00022222222
abe 20250409,g1,30,101,13,0.00057777778
abe 20250409,g1,30,107,3,0.00013333333
abe 20250409,g1,30,113,6,0.00026666667
abe 20250409,g1,30,120,3,0.00013333333
abe 20250409,g1,30,134,4,0.00017777778
abe 20250409,g1,30,142,14,0.00062222222
abe 20250409,g1,30,162,1,4.4444444e-05
abe 20250409,g1,30,166,3,0.00013333333
abe 20250409,g1,30,168,3,0.00013333333
abe 20250409,g1,30,173,5,0.00022222222
abe 20250409,g1,30,178,5,0.00022222222
abe 20250409,g1,30,196,1,4.4444444e-05
abe 20250409,g1,30,199,9,0.0004
abe 20250409,g1,30,200,5,0.00022222222
abe 20250409,g1,30,202,21,0.00093333333
abe 20250409,g1,30,207,1,4.4444444e-05
abe 20250409,g1,30,208,1,4.4444444e-05
abe 20250409,g1,30,210,24,0.0010666667
abe 20250409,g1,30,215,51,0.0022666667
abe 20250409,g1,30,219,18,0.0008
abe 20250409,g1,30,232,5,0.00022222222
abe 20250409,g1,30,235,1,4.4444444e-05
abe 20250409,g1,30,242,5,0.00022222222
abe 20250409,g1,30,261,3,0.00013333333
